Target relationship: chronotype_desync -> cluster
Model Formula: Formula(cluster ~ age + chronotype_desync + patient_chronotype + sex + sri + (1|id))

                        mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd   ess_bulk  ess_tail  r_hat
1|id[1, 1791]         -0.483  0.623  -1.655    0.704      0.005    0.009  16170.875  4687.204  1.000
1|id[1, 1800]         -0.861  0.630  -2.046    0.323      0.005    0.008  15287.109  5673.614  1.002
1|id[1, 1801]          0.195  0.601  -0.905    1.305      0.005    0.009  14165.608  5320.490  1.002
1|id[1, 1802]         -0.377  0.627  -1.557    0.769      0.005    0.007  15841.551  6131.412  1.001
1|id[1, 1803]         -0.442  0.622  -1.596    0.718      0.005    0.008  15877.820  5891.230  1.000
1|id[1, 1804]          0.227  0.645  -0.982    1.433      0.005    0.009  17208.765  5626.104  1.001
1|id[1, 1805]         -1.149  0.606  -2.335   -0.060      0.005    0.008  15453.475  6112.936  1.001
1|id[1, 1806]         -0.370  0.621  -1.589    0.730      0.005    0.008  17907.780  5379.574  1.000
1|id[1, 1808]          0.461  0.594  -0.683    1.550      0.005    0.008  16704.724  5670.827  1.001
1|id[1, 1809]          0.114  0.573  -0.961    1.176      0.004    0.008  18595.359  5558.774  1.002
1|id[1, 1810]          0.337  0.565  -0.701    1.402      0.004    0.007  16919.339  6378.750  1.001
1|id[1, 1811]          0.124  0.575  -0.932    1.235      0.004    0.008  17806.853  5182.377  1.000
1|id[1, 1812]         -0.595  0.597  -1.719    0.519      0.005    0.008  15626.744  5167.769  1.000
1|id[1, 1813]         -0.133  0.609  -1.310    0.969      0.005    0.007  15324.720  5905.846  1.000
1|id[1, 1814]         -0.144  0.599  -1.330    0.931      0.005    0.008  16285.295  5837.925  1.000
1|id[1, 1815]         -0.397  0.625  -1.547    0.807      0.005    0.008  16478.952  6127.068  1.001
1|id[1, 1816]         -0.973  0.615  -2.144    0.149      0.005    0.008  15107.902  5706.754  1.001
1|id[1, 1817]          0.513  0.572  -0.554    1.588      0.005    0.008  15034.147  5550.431  1.002
1|id[1, 1818]         -0.151  0.679  -1.406    1.145      0.006    0.009  14246.924  5060.307  1.001
1|id[1, 1820]          0.375  0.595  -0.778    1.460      0.005    0.008  15467.514  6334.480  1.001
1|id[1, 1821]          0.285  0.688  -0.997    1.541      0.006    0.009  14754.445  5259.197  1.001
1|id[1, 1822]         -0.567  0.591  -1.655    0.551      0.005    0.008  17194.793  5714.864  1.000
1|id[1, 1823]          0.204  0.601  -0.936    1.322      0.005    0.007  13556.807  6210.513  1.000
1|id[1, 1824]         -0.432  0.633  -1.629    0.741      0.005    0.009  19673.860  4975.790  1.003
1|id[1, 1825]          0.119  0.582  -0.951    1.248      0.005    0.007  15401.722  5853.341  1.001
1|id[1, 1826]         -0.526  0.687  -1.835    0.718      0.005    0.009  17492.761  5739.555  1.000
1|id[1, 1827]         -0.023  0.603  -1.195    1.061      0.004    0.008  18379.715  5367.524  1.002
1|id[1, 1828]          0.154  0.579  -0.951    1.221      0.005    0.008  15304.006  5946.541  1.001
1|id[1, 1829]          0.259  0.594  -0.910    1.337      0.005    0.007  14940.022  6207.405  1.001
1|id[1, 1830]          0.389  0.604  -0.736    1.523      0.005    0.007  14386.088  5737.477  1.000
1|id[1, 1832]          0.654  0.616  -0.432    1.877      0.005    0.008  17179.951  5827.332  1.001
1|id[1, 1833]         -0.162  0.678  -1.458    1.115      0.005    0.009  16049.433  5993.132  1.001
1|id[1, 1834]         -0.425  0.633  -1.611    0.738      0.005    0.008  16017.088  5773.127  1.001
1|id[1, 1835]          0.411  0.662  -0.875    1.629      0.005    0.009  15376.940  5514.890  1.001
1|id[1, 1836]          0.997  0.583  -0.079    2.118      0.005    0.008  14841.354  5472.352  1.001
1|id[1, 1837]         -0.572  0.586  -1.731    0.458      0.004    0.007  17772.598  6179.501  1.001
1|id[1, 1838]          0.230  0.617  -0.922    1.388      0.005    0.008  15195.208  6084.828  1.000
1|id[1, 1840]         -0.506  0.603  -1.679    0.613      0.005    0.008  17005.152  5404.106  1.002
1|id[1, 1844]          0.157  0.623  -1.005    1.343      0.005    0.008  16819.076  5833.649  1.001
1|id[1, 1847]          0.493  0.592  -0.583    1.632      0.005    0.009  17003.413  5909.779  1.000
1|id[1, 1848]         -0.361  0.639  -1.607    0.786      0.005    0.008  17017.020  5999.819  1.000
1|id[1, 1850]          0.379  0.663  -0.816    1.684      0.005    0.010  17918.788  5514.531  1.001
1|id[1, 1852]         -0.470  0.704  -1.747    0.881      0.005    0.009  16878.932  5793.760  1.001
1|id[1, 1878]         -0.605  0.667  -1.849    0.637      0.005    0.009  14825.963  5270.658  1.002
1|id[1, 1879]         -0.063  0.610  -1.213    1.069      0.005    0.008  15151.189  5486.395  1.001
1|id[1, 1880]          0.684  0.565  -0.374    1.746      0.004    0.008  17948.701  5717.990  1.000
1|id[1, 1886]          1.113  0.630  -0.060    2.319      0.005    0.008  14508.044  5882.456  1.000
1|id[1, 1887]         -0.054  0.628  -1.212    1.135      0.005    0.007  15215.115  6377.615  1.000
1|id[1, 1890]          0.402  0.616  -0.770    1.552      0.005    0.008  17788.357  6145.567  1.000
1|id[1, 1891]          0.474  0.580  -0.585    1.599      0.004    0.007  17903.208  6183.207  1.000
1|id[1, 1903]          0.305  0.568  -0.771    1.350      0.004    0.007  18127.916  5543.938  1.000
1|id[1, 1906]         -0.264  0.569  -1.356    0.787      0.004    0.008  17172.463  5413.095  1.002
1|id[1, 1909]         -0.650  0.607  -1.846    0.456      0.005    0.007  15251.516  6080.679  1.000
1|id[1, 1911]          0.606  0.583  -0.462    1.721      0.005    0.007  15774.919  6281.721  1.001
1|id[1, 1914]         -0.207  0.751  -1.582    1.234      0.006    0.009  16843.649  6070.455  1.001
1|id[1, 1915]          0.204  0.591  -0.882    1.301      0.004    0.007  17866.120  5977.647  1.001
1|id[1, 1916]         -0.442  0.621  -1.633    0.694      0.005    0.009  16431.823  5174.237  1.001
1|id[1, 1940]          1.125  0.617  -0.034    2.262      0.005    0.008  16099.170  5606.397  1.000
1|id[1, 1942]         -0.016  0.611  -1.152    1.134      0.005    0.008  15195.622  5814.924  1.001
1|id[1, 1947]         -0.324  0.656  -1.536    0.885      0.005    0.009  16180.395  5552.332  1.000
1|id[1, 1948]          0.014  0.625  -1.170    1.149      0.005    0.009  17348.640  5307.606  1.001
1|id[1, 1950]         -0.019  0.610  -1.157    1.136      0.005    0.007  15312.338  6332.879  1.001
1|id[1, 1955]         -0.764  0.642  -1.975    0.414      0.005    0.008  17310.576  5986.764  1.001
1|id[1, 1956]         -0.557  0.598  -1.669    0.559      0.005    0.007  15216.442  6039.125  1.002
1|id[1, 1962]          0.449  0.615  -0.664    1.648      0.005    0.008  15611.736  5965.631  1.000
1|id[1, 1963]         -0.469  0.613  -1.590    0.685      0.005    0.008  15998.169  5568.099  1.000
1|id[1, 1975]          0.225  0.630  -0.973    1.374      0.005    0.009  16982.820  5790.816  1.001
1|id[1, 1976]         -0.117  0.661  -1.364    1.104      0.005    0.009  18658.586  5829.768  1.001
1|id[1, 1977]         -0.431  0.597  -1.587    0.630      0.005    0.008  13804.382  5876.027  1.001
1|id[1, 1978]         -0.136  0.583  -1.247    0.961      0.005    0.007  16201.441  5817.314  1.000
1|id[1, 1980]         -0.342  0.740  -1.715    1.095      0.005    0.010  18934.123  5464.791  1.002
1|id[1, 1983]         -0.346  0.617  -1.570    0.782      0.005    0.009  14292.687  5398.453  1.001
1|id[1, 1984]          0.436  0.629  -0.775    1.598      0.005    0.009  14736.605  4970.206  1.000
1|id[1, 1986]         -0.202  0.736  -1.572    1.229      0.006    0.009  16544.093  5940.187  1.000
1|id[1, 1999]          0.133  0.611  -1.020    1.273      0.005    0.008  16248.211  5888.050  1.001
1|id[1, 2002]         -0.214  0.648  -1.457    0.930      0.006    0.009  13899.341  5434.180  1.000
1|id[1, 2003]         -0.334  0.580  -1.380    0.824      0.005    0.008  15275.649  5497.607  1.002
1|id[1, 2009]         -0.049  0.599  -1.146    1.100      0.005    0.007  14474.178  5941.271  1.000
1|id[1, 2010]          0.047  0.571  -1.027    1.127      0.004    0.007  17064.075  5692.495  1.000
1|id[1, 2011]         -0.106  0.599  -1.278    0.980      0.005    0.008  17639.338  5699.208  1.000
1|id[1, 2012]          0.167  0.618  -0.987    1.353      0.005    0.008  14707.089  5944.942  1.000
1|id[1, 2015]          0.295  0.569  -0.751    1.366      0.005    0.007  15465.125  4912.895  1.001
1|id[1, 2020]          0.193  0.726  -1.185    1.530      0.006    0.010  15265.955  5372.423  1.002
1|id[1, 2023]         -0.436  0.718  -1.706    0.972      0.006    0.010  16479.468  5676.416  1.000
1|id[1, 2026]          0.811  0.607  -0.341    1.926      0.005    0.008  16103.315  5552.629  1.001
1|id[1, 2028]          0.233  0.567  -0.838    1.303      0.004    0.007  17167.164  6248.141  1.000
1|id[1, 2029]         -0.659  0.676  -1.924    0.588      0.005    0.009  17374.852  5700.664  1.001
1|id[1, 2042]         -0.595  0.662  -1.874    0.598      0.005    0.009  15674.871  5570.920  1.000
1|id[1, 2043]          0.356  0.570  -0.681    1.462      0.005    0.008  14754.625  5582.467  1.000
1|id[1, 2044]          0.362  0.577  -0.728    1.440      0.004    0.007  17167.184  6065.508  1.000
1|id[1, 2046]         -0.194  0.631  -1.457    0.925      0.005    0.009  18009.280  5298.644  1.001
1|id[1, 2049]          0.954  0.591  -0.145    2.050      0.005    0.007  16758.834  6403.531  1.002
1|id[1, 2054]          0.381  0.602  -0.711    1.519      0.004    0.008  17914.399  5916.756  1.001
1|id[1, 2056]          0.688  0.598  -0.473    1.787      0.005    0.007  17044.808  6562.677  1.000
1|id[1, 2057]          0.428  0.532  -0.557    1.437      0.004    0.007  15105.906  5546.904  1.001
1|id[1, 2060]         -0.758  0.641  -2.007    0.416      0.005    0.009  17645.045  5762.152  1.001
1|id[1, 2063]         -0.297  0.651  -1.531    0.906      0.006    0.008  13611.534  6193.096  1.001
1|id[1, 2064]          0.044  0.573  -1.074    1.091      0.005    0.007  15444.132  5540.958  1.000
1|id[1, 2065]         -0.121  0.560  -1.140    0.922      0.004    0.007  16403.407  6035.998  1.000
1|id[1, 2066]          1.252  0.611   0.177    2.467      0.005    0.008  14013.239  5366.713  1.002
1|id[1, 2067]          0.701  0.633  -0.450    1.925      0.005    0.008  15072.052  6128.186  1.001
1|id[1, 2070]         -0.539  0.699  -1.805    0.809      0.005    0.009  16970.153  5539.167  1.003
1|id[1, 2079]         -0.747  0.663  -2.120    0.404      0.005    0.009  16202.441  5355.161  1.002
1|id[1, 2080]          0.767  0.673  -0.443    2.070      0.005    0.009  15618.343  5116.152  1.000
1|id[1, 2097]          0.866  0.622  -0.305    2.018      0.005    0.009  14328.767  5372.217  1.001
1|id[1, 2102]         -0.614  0.591  -1.738    0.489      0.005    0.008  15380.401  5294.588  1.001
1|id[1, 2103]          0.201  0.603  -0.951    1.284      0.005    0.007  15597.639  6653.277  1.001
1|id[1, 2105]         -0.204  0.601  -1.296    0.940      0.004    0.008  18832.454  5030.723  1.000
1|id[1, 2117]          0.264  0.655  -0.987    1.443      0.005    0.008  17349.441  6078.088  1.001
1|id[1, 2124]          0.049  0.608  -1.103    1.187      0.005    0.008  13445.631  5712.391  1.001
1|id[1, 2125]          0.047  0.606  -1.127    1.146      0.005    0.009  15065.195  5361.003  1.001
1|id[1, 2126]         -0.171  0.624  -1.323    1.011      0.005    0.008  18401.087  5543.610  1.000
1|id[1, 2129]          0.304  0.586  -0.824    1.376      0.005    0.008  15309.889  5666.589  1.000
1|id[1, 2131]          0.153  0.629  -1.038    1.300      0.005    0.008  16147.229  6005.121  1.000
1|id[1, 2137]          0.278  0.620  -0.914    1.420      0.005    0.008  16294.962  6129.208  1.002
1|id[1, 2138]         -0.660  0.668  -1.904    0.570      0.006    0.009  14864.527  5255.259  1.000
1|id[1, 2139]         -0.780  0.633  -1.948    0.413      0.005    0.008  17723.612  5856.025  1.001
1|id[1, 2144]         -0.417  0.691  -1.765    0.842      0.006    0.009  15982.797  5293.911  1.000
1|id[1, 2146]          0.762  0.556  -0.238    1.846      0.004    0.007  15719.184  6234.888  1.000
1|id[1, 2148]         -0.892  0.620  -2.035    0.266      0.005    0.008  15981.462  5690.524  1.001
1|id[1, 2149]          1.038  0.597  -0.137    2.085      0.005    0.008  17432.192  5508.896  1.001
1|id[1, 2151]         -0.494  0.623  -1.697    0.651      0.006    0.008  12563.912  5248.041  1.001
1|id[1, 2152]          0.321  0.596  -0.760    1.490      0.005    0.008  16427.685  6137.502  1.000
1|id[1, 2153]         -0.085  0.612  -1.251    1.035      0.005    0.008  15849.243  5913.809  1.000
1|id[1, 2154]          0.321  0.635  -0.886    1.514      0.005    0.008  14584.263  5883.429  1.000
1|id[1, 2155]          0.151  0.600  -0.948    1.291      0.005    0.008  16839.576  5763.089  1.000
1|id[1, 2157]         -0.178  0.755  -1.540    1.254      0.006    0.010  17640.147  5692.260  1.001
1|id[1, 2158]          1.072  0.638  -0.193    2.210      0.005    0.009  16627.447  5413.321  1.001
1|id[1, 2159]          0.221  0.609  -0.913    1.346      0.005    0.008  16204.244  5822.026  1.001
1|id[1, 2160]         -0.381  0.625  -1.509    0.840      0.005    0.008  15891.975  5216.133  1.001
1|id[1, 2162]          0.148  0.713  -1.206    1.474      0.006    0.010  16002.797  5560.134  1.001
1|id[1, 2167]         -0.886  0.643  -2.126    0.294      0.005    0.008  16232.060  5590.547  1.001
1|id[1, 2168]         -0.167  0.600  -1.337    0.941      0.005    0.009  16984.951  4881.372  1.002
1|id[1, 2171]          0.926  0.595  -0.226    2.011      0.005    0.008  15706.415  5987.688  1.000
1|id[1, 2176]          0.205  0.573  -0.913    1.263      0.005    0.007  15750.130  5403.989  1.001
1|id[1, 2178]          0.333  0.581  -0.758    1.461      0.005    0.007  14270.564  6312.329  1.000
1|id[1, 2179]          0.223  0.599  -0.897    1.378      0.005    0.007  13397.777  5870.211  1.000
1|id[1, 2181]          0.156  0.578  -0.914    1.241      0.005    0.007  14367.221  6165.848  1.001
1|id[1, 2183]         -0.226  0.642  -1.440    1.001      0.005    0.008  17957.270  5880.859  1.000
1|id[1, 2188]         -0.016  0.626  -1.211    1.138      0.005    0.008  17171.848  5438.990  1.001
1|id[1, 2189]          0.561  0.561  -0.489    1.632      0.005    0.008  14684.017  5261.820  1.000
1|id[1, 2191]          0.078  0.583  -1.005    1.196      0.005    0.008  16330.065  5366.282  1.001
1|id[1, 2193]         -0.166  0.607  -1.306    0.971      0.005    0.008  17630.202  5926.603  1.001
1|id[1, 2197]          0.179  0.568  -0.860    1.285      0.004    0.007  16854.533  5752.284  1.001
1|id[1, 2201]         -0.245  0.612  -1.420    0.873      0.005    0.009  15578.435  5544.448  1.001
1|id[1, 2202]         -0.076  0.622  -1.237    1.095      0.005    0.008  14452.724  5527.934  1.000
1|id[1, 2203]          0.037  0.676  -1.290    1.241      0.005    0.008  16386.034  5861.329  1.001
1|id[1, 2204]         -0.832  0.641  -2.063    0.328      0.005    0.009  14853.612  5221.530  1.001
1|id[1, 2205]         -0.353  0.639  -1.513    0.865      0.005    0.008  16403.353  5396.161  1.001
1|id[1, 2216]         -0.743  0.661  -2.053    0.467      0.005    0.009  15394.884  5565.040  1.000
1|id[1, 2217]         -0.379  0.586  -1.461    0.747      0.005    0.008  16119.475  5661.182  1.001
1|id[1, 2218]          1.151  0.593  -0.015    2.236      0.005    0.008  16310.048  5794.524  1.000
1|id[1, 2220]          0.010  0.596  -1.112    1.120      0.004    0.007  18192.908  5933.511  1.000
1|id[1, 2222]          0.767  0.614  -0.415    1.875      0.005    0.008  13781.335  5512.018  1.000
1|id[1, 2225]         -0.579  0.624  -1.733    0.583      0.005    0.008  15971.293  5567.828  1.000
1|id[1, 2226]          0.097  0.720  -1.175    1.483      0.005    0.010  17125.985  5821.434  1.000
1|id[1, 2228]          1.223  0.621   0.090    2.415      0.005    0.008  14307.599  5543.719  1.000
1|id[1, 2231]         -0.115  0.599  -1.225    1.025      0.005    0.007  15640.663  6321.196  1.001
1|id[1, 2232]         -0.016  0.619  -1.241    1.090      0.005    0.008  16400.332  5596.721  1.001
1|id[1, 2233]         -0.319  0.576  -1.386    0.803      0.005    0.008  15230.595  5732.924  1.001
1|id[1, 2234]          0.381  0.675  -0.837    1.667      0.005    0.008  17705.545  6127.265  1.000
1|id[1, 2236]         -0.251  0.572  -1.262    0.882      0.005    0.007  15943.204  6281.621  1.001
1|id[1, 2237]         -0.445  0.603  -1.584    0.691      0.005    0.008  13099.700  5622.014  1.001
1|id[1, 2238]          0.353  0.565  -0.680    1.431      0.005    0.007  14856.120  5747.067  1.003
1|id[1, 2239]         -0.713  0.650  -1.966    0.453      0.005    0.009  15140.452  5516.833  1.001
1|id[1, 2243]          0.235  0.589  -0.840    1.355      0.005    0.008  16560.458  5281.640  1.000
1|id[1, 2244]         -0.152  0.609  -1.289    0.965      0.004    0.007  18664.151  6240.724  1.001
1|id[1, 2253]         -0.348  0.633  -1.535    0.867      0.005    0.009  15263.622  5624.392  1.001
1|id[1, 2254]          0.575  0.659  -0.655    1.820      0.005    0.009  15465.702  6126.701  1.001
1|id[1, 2263]          0.754  0.701  -0.558    2.027      0.005    0.009  17986.838  5636.903  1.000
1|id[1, 2266]          0.087  0.652  -1.180    1.261      0.005    0.008  16079.180  6053.160  1.000
1|id[1, 2268]          0.182  0.632  -0.934    1.416      0.005    0.009  17554.374  5299.105  1.000
1|id[1, 2270]         -0.070  0.603  -1.127    1.140      0.005    0.009  16781.178  5623.069  1.000
1|id[1, 2271]         -0.106  0.575  -1.204    0.940      0.005    0.008  14330.153  5798.479  1.000
1|id[1, 2273]          0.005  0.607  -1.109    1.186      0.005    0.007  16170.655  6316.140  1.002
1|id[1, 2295]          0.010  0.563  -1.090    1.040      0.005    0.008  14098.198  5114.410  1.001
1|id[1, 2296]         -0.899  0.646  -2.109    0.313      0.006    0.009  13581.029  5284.660  1.000
1|id[1, 2297]         -0.857  0.641  -2.103    0.299      0.005    0.008  15728.850  5500.608  1.000
1|id[1, 2298]          0.158  0.708  -1.169    1.492      0.005    0.009  18804.015  5730.363  1.000
1|id[1, 2304]         -0.156  0.601  -1.303    0.967      0.005    0.008  15809.513  6035.030  1.001
1|id[1, 2305]         -0.453  0.623  -1.610    0.747      0.005    0.008  16612.523  5490.331  1.000
1|id[1, 2306]          0.176  0.599  -0.926    1.307      0.005    0.007  15628.000  6365.945  1.000
1|id[1, 2307]          1.194  0.610   0.141    2.395      0.005    0.008  15871.544  5766.675  1.000
1|id[1, 2310]          1.093  0.566   0.052    2.175      0.005    0.008  14359.035  5572.690  1.002
1|id[1, 2311]          0.137  0.605  -1.005    1.243      0.005    0.008  15680.513  6138.005  1.000
1|id[1, 2312]          0.560  0.614  -0.578    1.720      0.004    0.009  19882.509  5306.547  1.000
1|id[1, 2314]         -0.402  0.705  -1.708    0.965      0.006    0.009  16079.503  5468.538  1.001
1|id[1, 2315]          0.134  0.711  -1.182    1.498      0.005    0.009  17887.873  5751.560  1.002
1|id[1, 2324]          0.397  0.611  -0.696    1.617      0.005    0.008  17992.989  5841.223  1.001
1|id[1, 2327]         -0.650  0.612  -1.775    0.529      0.004    0.009  18904.126  5248.845  1.001
1|id[1, 2329]         -0.151  0.655  -1.351    1.084      0.006    0.008  14051.247  6082.259  1.000
1|id[1, 2331]         -0.330  0.644  -1.560    0.835      0.005    0.010  15404.170  5297.843  1.001
1|id[1, 2333]         -0.005  0.585  -1.081    1.130      0.005    0.008  15962.503  5414.988  1.001
1|id[1, 2335]          0.662  0.592  -0.416    1.815      0.005    0.010  16789.793  4889.527  1.001
1|id[1, 2338]          0.246  0.577  -0.879    1.315      0.004    0.008  17698.184  5229.496  1.001
1|id[1, 2343]         -0.327  0.639  -1.565    0.826      0.005    0.008  17682.211  6024.552  1.001
1|id[1, 2344]          0.560  0.611  -0.629    1.657      0.005    0.008  16237.692  5864.229  1.000
1|id[1, 2351]          0.103  0.601  -1.027    1.231      0.005    0.008  14996.440  5693.476  1.001
1|id[1, 2361]          0.233  0.573  -0.860    1.297      0.005    0.007  15902.040  6381.238  1.001
1|id[1, 2363]          0.264  0.614  -0.873    1.444      0.005    0.008  16297.087  5915.682  1.000
1|id[1, 2365]          0.269  0.592  -0.819    1.403      0.005    0.007  17088.421  5823.352  1.001
1|id[1, 2370]          0.515  0.582  -0.590    1.585      0.005    0.007  13804.123  5628.022  1.000
1|id[1, 2374]          0.501  0.606  -0.630    1.676      0.005    0.008  14138.624  5942.116  1.000
1|id[1, 2376]         -0.977  0.619  -2.102    0.217      0.005    0.009  14815.955  5643.255  1.000
1|id[1, 2385]          0.333  0.623  -0.839    1.480      0.005    0.009  15821.853  4934.559  1.001
1|id[1, 2389]         -0.101  0.587  -1.205    1.012      0.004    0.008  18894.548  5599.153  1.001
1|id[1, 2390]          0.190  0.630  -0.990    1.368      0.005    0.008  14780.139  5935.348  1.000
1|id[1, 2397]          0.251  0.575  -0.835    1.318      0.005    0.007  16195.828  6026.592  1.001
1|id[1, 2399]          0.577  0.609  -0.608    1.696      0.005    0.008  16080.962  5607.495  1.000
1|id[1, 2400]         -0.088  0.608  -1.265    1.027      0.005    0.008  15546.606  5547.234  1.001
1|id[1, 2401]         -0.099  0.609  -1.217    1.079      0.005    0.008  16274.554  5445.251  1.001
1|id[1, 2405]         -0.032  0.609  -1.228    1.066      0.005    0.007  14862.323  5967.558  1.002
1|id[1, 2406]         -0.200  0.764  -1.614    1.244      0.006    0.010  16235.919  5574.930  1.002
1|id[1, 2407]         -0.518  0.681  -1.773    0.776      0.005    0.009  15903.027  5645.251  1.000
1|id[1, 2408]          0.232  0.727  -1.080    1.618      0.005    0.010  18583.380  5493.510  1.001
1|id[1, 2410]          0.028  0.585  -1.033    1.156      0.004    0.008  17770.067  5659.130  1.001
1|id[1, 2419]         -0.600  0.664  -1.878    0.609      0.005    0.009  17019.189  5772.124  1.000
1|id[1, 2420]          0.342  0.584  -0.798    1.396      0.004    0.007  17273.750  6090.434  1.000
1|id[1, 2421]         -0.861  0.634  -2.019    0.336      0.005    0.009  15494.793  5496.406  1.001
1|id[1, 2423]         -0.201  0.651  -1.437    0.986      0.005    0.008  14641.883  6110.775  1.000
1|id[1, 2424]         -0.905  0.638  -2.068    0.332      0.005    0.009  17376.146  5194.262  1.000
1|id[1, 2427]         -0.197  0.752  -1.669    1.141      0.006    0.010  16807.179  5077.130  1.000
1|id[1, 2428]         -0.850  0.652  -2.082    0.380      0.005    0.009  15880.439  5575.719  1.001
1|id[1, 2429]          0.274  0.581  -0.755    1.413      0.005    0.008  14413.940  5768.838  1.000
1|id[1, 2430]          0.316  0.581  -0.742    1.444      0.005    0.008  15407.701  5257.859  1.001
1|id[1, 2431]          0.698  0.576  -0.346    1.804      0.005    0.007  15879.686  5899.378  1.000
1|id[1, 2437]         -0.091  0.630  -1.245    1.118      0.005    0.008  15781.691  5920.251  1.000
1|id[1, 2439]          0.180  0.602  -0.911    1.357      0.005    0.009  17851.986  5226.953  1.001
1|id[1, 2441]          0.475  0.584  -0.667    1.505      0.004    0.008  17907.408  5156.532  1.002
1|id[1, 2442]         -0.720  0.641  -1.888    0.516      0.005    0.008  16006.504  5457.861  1.000
1|id[1, 2444]          0.587  0.584  -0.544    1.663      0.005    0.007  15480.891  6405.173  1.000
1|id[1, 2448]         -0.570  0.605  -1.689    0.595      0.005    0.008  16999.210  5711.499  1.000
1|id[1, 2450]          0.867  0.601  -0.254    2.003      0.005    0.008  15584.769  5554.450  1.001
1|id[1, 2451]          0.436  0.594  -0.683    1.533      0.004    0.008  18412.628  5721.634  1.000
1|id[1, 2453]          0.556  0.698  -0.766    1.888      0.005    0.010  18178.252  5701.210  1.000
1|id[1, 2455]         -0.397  0.560  -1.417    0.664      0.004    0.007  15719.507  6140.529  1.001
1|id[1, 2456]         -0.392  0.580  -1.468    0.696      0.005    0.007  15658.022  5496.659  1.000
1|id[1, 2457]          0.292  0.570  -0.796    1.329      0.005    0.007  15032.478  5622.434  1.001
1|id[1, 2458]          0.436  0.572  -0.629    1.520      0.004    0.007  16101.904  6595.921  1.000
1|id[1, 2459]         -0.873  0.642  -2.039    0.380      0.005    0.008  14474.457  6096.520  1.000
1|id[1, 2460]          0.881  0.617  -0.264    2.045      0.005    0.009  15852.638  5518.991  1.001
1|id[1, 2461]         -0.282  0.572  -1.329    0.819      0.005    0.007  13581.172  5913.414  1.000
1|id[1, 2462]          0.777  0.677  -0.545    1.997      0.005    0.009  17856.896  5737.456  1.000
1|id[1, 2464]          0.010  0.666  -1.233    1.273      0.006    0.008  14006.265  5812.115  1.001
1|id[1, 2465]          0.101  0.705  -1.217    1.456      0.005    0.010  19905.988  5681.647  1.000
1|id[1, 2473]          0.871  0.646  -0.401    2.046      0.005    0.009  15934.578  5728.539  1.000
1|id[1, 2486]         -0.182  0.751  -1.612    1.184      0.006    0.010  14754.616  5804.566  1.000
1|id[1, 2496]         -0.153  0.656  -1.379    1.073      0.005    0.009  16625.108  5544.130  1.000
1|id[1, 2497]         -0.236  0.640  -1.444    0.924      0.005    0.008  15500.426  5839.788  1.001
1|id[1, 2498]         -0.556  0.608  -1.715    0.574      0.005    0.008  18154.647  6096.788  1.000
1|id[1, 2499]         -0.578  0.605  -1.728    0.552      0.005    0.008  14699.335  5792.531  1.000
1|id[1, 2502]         -0.520  0.626  -1.692    0.639      0.005    0.008  14316.068  5869.736  1.002
1|id[1, 2504]          0.142  0.612  -0.971    1.333      0.005    0.008  16769.573  6492.262  1.001
1|id[1, 2505]          0.742  0.680  -0.538    2.049      0.005    0.009  18559.078  5367.014  1.000
1|id[1, 2506]         -0.561  0.622  -1.715    0.574      0.005    0.009  18712.360  5288.381  1.000
1|id[1, 2510]          0.059  0.631  -1.120    1.225      0.005    0.008  17745.391  6223.305  1.000
1|id[1, 2511]          0.512  0.630  -0.701    1.681      0.005    0.008  15896.038  5187.351  1.000
1|id[1, 2513]          0.062  0.576  -0.978    1.173      0.004    0.008  16624.027  5285.738  1.000
1|id[1, 2514]         -0.181  0.600  -1.307    0.916      0.005    0.007  13616.389  6035.490  1.001
1|id[1, 2516]         -0.471  0.683  -1.757    0.811      0.005    0.009  17645.337  5529.868  1.000
1|id[1, 2518]          0.024  0.625  -1.180    1.159      0.005    0.007  16326.147  6325.440  1.000
1|id[1, 2521]          0.495  0.578  -0.572    1.593      0.005    0.007  15410.500  6084.148  1.000
1|id[1, 2524]         -0.160  0.587  -1.271    0.934      0.004    0.008  17545.269  5576.364  1.001
1|id[1, 2529]         -0.160  0.581  -1.222    0.961      0.005    0.007  14234.585  5646.875  1.000
1|id[1, 2533]         -0.655  0.661  -1.835    0.632      0.005    0.009  17282.199  5796.048  1.000
1|id[1, 2534]          0.285  0.587  -0.800    1.390      0.005    0.007  15025.529  5714.495  1.000
1|id[1, 2538]          0.440  0.582  -0.644    1.559      0.005    0.007  14184.547  5993.717  1.000
1|id[1, 2539]          0.295  0.566  -0.747    1.377      0.005    0.007  14696.358  6316.462  1.000
1|id[1, 2540]          0.875  0.561  -0.123    1.996      0.005    0.007  14522.597  5887.926  1.002
1|id[1, 2541]         -0.624  0.593  -1.725    0.480      0.005    0.008  16189.853  5615.842  1.001
1|id[1, 2542]         -0.633  0.673  -1.883    0.660      0.006    0.010  15245.496  4611.810  1.000
1|id[1, 2546]         -0.415  0.620  -1.563    0.737      0.005    0.007  15152.247  6101.190  1.001
1|id[1, 2547]         -0.681  0.656  -1.959    0.511      0.005    0.009  18117.091  5525.394  1.000
1|id[1, 2548]         -0.420  0.619  -1.554    0.766      0.005    0.008  13661.144  5834.324  1.000
1|id[1, 2549]          0.496  0.588  -0.571    1.604      0.005    0.007  16144.865  5943.176  1.001
