Target relationship: chronotype_desync -> cluster
Model Formula: Formula(cluster ~ age + chronotype_desync + patient_chronotype + sex + sri + (1|id))

                        mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd   ess_bulk  ess_tail  r_hat
1|id[1, 355]           0.636  0.583  -0.443    1.726      0.005    0.008  15792.257  5799.130  1.000
1|id[1, 358]           0.069  0.677  -1.229    1.292      0.005    0.009  15314.602  5993.118  1.001
1|id[1, 359]           0.376  0.738  -1.076    1.707      0.006    0.010  14975.772  5362.206  1.000
1|id[1, 360]          -0.356  0.634  -1.543    0.836      0.005    0.009  17670.794  5860.521  1.002
1|id[1, 361]          -0.402  0.632  -1.632    0.740      0.005    0.008  16402.605  5452.623  1.001
1|id[1, 362]          -0.496  0.609  -1.665    0.639      0.005    0.008  17045.236  5863.271  1.000
1|id[1, 374]          -0.531  0.614  -1.710    0.600      0.005    0.008  14720.203  4999.639  1.002
1|id[1, 377]          -0.530  0.615  -1.691    0.601      0.005    0.009  17420.422  5487.924  1.000
1|id[1, 378]          -0.004  0.596  -1.126    1.118      0.005    0.008  16785.882  5802.555  1.000
1|id[1, 380]          -0.467  0.598  -1.589    0.631      0.005    0.007  15420.775  6492.293  1.000
1|id[1, 381]          -1.035  0.624  -2.139    0.185      0.005    0.008  14705.594  5880.188  1.001
1|id[1, 382]          -0.549  0.684  -1.840    0.713      0.005    0.009  16327.190  5253.532  1.001
1|id[1, 383]           0.229  0.591  -0.912    1.319      0.005    0.007  14878.898  6182.175  1.000
1|id[1, 385]           0.490  0.645  -0.798    1.625      0.005    0.008  16761.622  5253.239  1.000
1|id[1, 386]          -0.534  0.605  -1.699    0.558      0.004    0.008  19303.472  5766.402  1.000
1|id[1, 387]           0.628  0.589  -0.488    1.745      0.005    0.008  15674.108  5926.309  1.000
1|id[1, 389]          -0.732  0.645  -1.990    0.434      0.005    0.008  15563.488  5761.306  1.000
1|id[1, 391]          -0.364  0.601  -1.522    0.748      0.005    0.007  15248.015  6395.011  1.001
1|id[1, 392]           0.109  0.581  -0.882    1.295      0.005    0.008  15314.974  5644.255  1.002
1|id[1, 393]          -0.107  0.655  -1.368    1.069      0.005    0.009  15449.660  5560.474  1.000
1|id[1, 395]          -0.004  0.683  -1.230    1.320      0.006    0.010  15601.843  4810.649  1.000
1|id[1, 396]           0.214  0.637  -0.928    1.460      0.005    0.008  16773.405  5939.205  1.001
1|id[1, 397]           0.153  0.587  -0.909    1.289      0.005    0.009  16670.056  5718.718  1.000
1|id[1, 398]           0.297  0.568  -0.711    1.438      0.004    0.007  16632.767  5772.698  1.001
1|id[1, 406]          -0.722  0.664  -1.967    0.497      0.005    0.009  16246.442  6190.798  1.000
1|id[1, 407]           0.347  0.603  -0.804    1.466      0.004    0.008  18120.154  5777.833  1.000
1|id[1, 421]           0.319  0.588  -0.866    1.390      0.005    0.008  15176.977  5635.162  1.001
1|id[1, 422]           0.027  0.576  -1.038    1.126      0.005    0.007  15241.527  6132.709  1.003
1|id[1, 423]          -0.297  0.719  -1.608    1.115      0.005    0.009  17885.465  6011.369  1.001
1|id[1, 429]          -0.863  0.644  -2.125    0.293      0.005    0.009  17287.648  5243.033  1.000
1|id[1, 431]          -0.191  0.650  -1.354    1.069      0.005    0.008  16896.077  6517.129  1.001
1|id[1, 432]           0.656  0.626  -0.538    1.806      0.005    0.008  14824.919  5691.453  1.000
1|id[1, 433]          -0.610  0.670  -1.943    0.597      0.005    0.009  17686.649  6044.172  1.000
1|id[1, 434]          -0.294  0.654  -1.513    0.917      0.005    0.008  15401.787  6107.694  1.001
1|id[1, 435]          -0.470  0.690  -1.705    0.863      0.005    0.008  16311.518  6051.496  1.000
1|id[1, 436]           0.533  0.614  -0.598    1.680      0.005    0.008  17628.470  6243.609  1.000
1|id[1, 437]          -0.756  0.660  -2.047    0.460      0.005    0.009  16685.630  5094.524  1.001
1|id[1, 438]          -0.505  0.689  -1.748    0.821      0.006    0.009  15721.978  5294.689  1.002
