Target relationship: se -> cluster
Model Formula: Formula(cluster ~ abs_chronotype_desync + age + chronotype_desync + se + sfi + sri + waso + (1|id))

                           mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd   ess_bulk  ess_tail  r_hat
abs_chronotype_desync[1] -0.139  0.044  -0.219   -0.056      0.000    0.000  13191.520  6718.465  1.001
abs_chronotype_desync[2] -0.072  0.044  -0.154    0.012      0.000    0.000  13123.522  7124.271  1.000
1|id[1, 933]             -0.245  0.603  -1.355    0.889      0.005    0.008  15404.943  5622.392  1.000
1|id[1, 934]             -0.804  0.640  -2.040    0.337      0.005    0.008  15935.716  5717.378  1.001
1|id[1, 935]              0.733  0.609  -0.418    1.861      0.004    0.008  18408.158  5449.211  1.002
1|id[1, 936]             -0.366  0.735  -1.716    0.996      0.005    0.012  18499.952  5109.058  1.002
1|id[1, 937]              0.178  0.707  -1.107    1.518      0.006    0.010  16218.192  5656.519  1.000
1|id[1, 938]              0.639  0.585  -0.460    1.748      0.004    0.007  17159.850  6244.374  1.000
1|id[1, 939]             -0.036  0.685  -1.350    1.214      0.005    0.009  19135.280  5596.043  1.000
1|id[1, 940]              0.564  0.567  -0.551    1.579      0.004    0.008  17957.383  5863.721  1.000
1|id[1, 941]             -0.762  0.661  -1.931    0.509      0.005    0.008  16539.385  5972.501  1.000
1|id[1, 942]             -0.423  0.586  -1.575    0.625      0.005    0.007  16297.280  4928.073  1.001
1|id[1, 944]             -0.128  0.593  -1.270    0.973      0.005    0.008  17145.204  5717.091  1.002
1|id[1, 945]              0.153  0.622  -0.972    1.381      0.005    0.008  18257.838  5861.550  1.001
1|id[1, 946]             -0.605  0.611  -1.797    0.511      0.005    0.009  16972.391  5494.590  1.001
1|id[1, 947]              0.986  0.590  -0.087    2.100      0.005    0.007  16220.786  6235.851  1.003
1|id[1, 948]              0.295  0.596  -0.781    1.438      0.004    0.008  18418.956  5889.538  1.001
1|id[1, 949]             -0.174  0.593  -1.330    0.893      0.004    0.008  17863.323  5511.046  1.001
1|id[1, 953]             -0.232  0.647  -1.459    0.960      0.005    0.008  17636.879  6398.645  1.000
1|id[1, 958]             -0.030  0.613  -1.187    1.125      0.004    0.008  19062.330  5992.837  1.000
