Target relationship: abs_chronotype_desync -> cluster
Model Formula: Formula(cluster ~ abs_chronotype_desync + age + patient_chronotype + sex + sri + (1|id))

                           mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd   ess_bulk  ess_tail  r_hat
abs_chronotype_desync[1] -0.134  0.042  -0.216   -0.056      0.000    0.000  15248.143  6242.181  1.000
abs_chronotype_desync[2] -0.050  0.041  -0.124    0.030      0.000    0.000  14856.925  6708.018  1.001
1|id[1, 406]             -0.696  0.667  -1.975    0.543      0.005    0.008  15744.307  5910.351  1.001
1|id[1, 407]              0.343  0.604  -0.758    1.488      0.005    0.008  17634.489  6072.676  1.000
1|id[1, 421]              0.288  0.587  -0.852    1.362      0.004    0.008  19127.090  5461.411  1.000
1|id[1, 422]              0.027  0.584  -1.044    1.138      0.005    0.008  15917.456  5728.971  1.001
1|id[1, 423]             -0.318  0.723  -1.611    1.088      0.005    0.010  19391.897  5301.974  1.000
1|id[1, 429]             -0.862  0.631  -2.045    0.311      0.005    0.009  17048.159  5277.089  1.002
1|id[1, 431]             -0.180  0.657  -1.334    1.103      0.005    0.008  15830.533  6118.955  1.000
1|id[1, 432]              0.677  0.615  -0.440    1.856      0.005    0.008  16625.487  5977.096  1.000
1|id[1, 433]             -0.610  0.685  -1.859    0.712      0.005    0.009  17683.097  5298.137  1.000
1|id[1, 434]             -0.299  0.651  -1.518    0.922      0.005    0.008  14763.862  6172.877  1.000
1|id[1, 435]             -0.487  0.677  -1.726    0.786      0.005    0.008  15666.508  6117.144  1.000
1|id[1, 436]              0.519  0.617  -0.598    1.726      0.005    0.008  15160.937  5992.544  1.001
1|id[1, 437]             -0.768  0.631  -1.989    0.365      0.005    0.008  17988.731  5255.341  1.000
1|id[1, 438]             -0.530  0.681  -1.808    0.755      0.005    0.009  15749.299  5591.900  1.000
1|id[1, 439]             -0.677  0.657  -1.918    0.558      0.005    0.008  16818.784  5829.814  1.001
1|id[1, 440]             -0.511  0.701  -1.771    0.873      0.006    0.009  14746.460  5754.085  1.001
1|id[1, 441]              0.412  0.627  -0.790    1.576      0.005    0.008  16244.900  5480.844  1.001
1|id[1, 442]             -0.114  0.655  -1.405    1.075      0.005    0.008  15816.029  5994.362  1.001
1|id[1, 443]             -0.250  0.655  -1.452    0.987      0.005    0.009  15686.940  4407.652  1.001
1|id[1, 444]             -0.319  0.645  -1.559    0.881      0.005    0.008  15220.241  5415.470  1.000
1|id[1, 445]              0.039  0.604  -1.092    1.187      0.005    0.007  15680.298  6107.722  1.000
1|id[1, 451]              0.741  0.609  -0.380    1.927      0.005    0.008  17527.311  5175.085  1.002
1|id[1, 466]             -0.077  0.570  -1.168    0.989      0.005    0.008  15371.359  5110.170  1.000
1|id[1, 483]             -0.299  0.724  -1.626    1.120      0.005    0.010  17710.122  5413.430  1.002
1|id[1, 484]              0.139  0.612  -1.006    1.317      0.005    0.008  16251.346  5509.160  1.000
1|id[1, 485]             -0.028  0.624  -1.223    1.128      0.005    0.008  16903.012  5195.488  1.001
1|id[1, 502]             -0.675  0.585  -1.797    0.400      0.005    0.008  16386.286  5812.295  1.000
1|id[1, 503]              0.047  0.620  -1.159    1.174      0.005    0.008  18376.792  5687.464  1.000
1|id[1, 505]             -0.811  0.634  -2.032    0.364      0.005    0.009  14487.044  5177.473  1.001
1|id[1, 507]              0.532  0.586  -0.526    1.670      0.004    0.008  17437.097  5841.712  1.003
1|id[1, 508]             -0.300  0.643  -1.501    0.931      0.005    0.008  17185.834  5982.642  1.001
1|id[1, 510]             -0.173  0.755  -1.620    1.238      0.005    0.010  19973.079  5494.896  1.001
1|id[1, 511]              0.292  0.601  -0.839    1.414      0.005    0.008  16493.969  5997.705  1.000
1|id[1, 512]              0.536  0.631  -0.676    1.672      0.005    0.008  16630.167  6041.625  1.001
1|id[1, 513]             -0.819  0.628  -1.976    0.381      0.005    0.008  17144.682  5275.239  1.000
1|id[1, 514]             -0.132  0.597  -1.217    1.022      0.005    0.007  15094.742  6018.216  1.000
1|id[1, 519]             -0.768  0.586  -1.856    0.340      0.005    0.007  14330.227  6030.446  1.001
1|id[1, 520]              0.028  0.607  -1.150    1.145      0.005    0.008  16142.286  5700.740  1.000
1|id[1, 521]             -0.443  0.600  -1.617    0.674      0.005    0.008  17617.088  5327.551  1.001
1|id[1, 524]             -0.241  0.661  -1.502    0.977      0.005    0.009  18060.981  4753.271  1.000
1|id[1, 583]             -0.788  0.643  -2.014    0.385      0.005    0.008  18145.151  5308.052  1.001
1|id[1, 585]              0.505  0.577  -0.565    1.567      0.005    0.007  14170.393  6256.803  1.000
1|id[1, 588]              0.672  0.599  -0.478    1.756      0.005    0.008  14660.084  5694.997  1.000
1|id[1, 601]             -0.937  0.621  -2.111    0.195      0.005    0.007  15660.580  6485.250  1.000
1|id[1, 602]              0.477  0.586  -0.614    1.599      0.005    0.008  16468.646  5533.975  1.001
1|id[1, 610]             -0.750  0.592  -1.899    0.329      0.005    0.008  15547.288  5700.253  1.002
1|id[1, 611]             -0.348  0.625  -1.480    0.860      0.005    0.009  16701.407  5441.468  1.001
1|id[1, 612]             -0.293  0.566  -1.338    0.787      0.004    0.007  20155.341  6112.209  1.000
1|id[1, 615]              0.150  0.709  -1.176    1.485      0.005    0.010  18735.900  5441.868  1.002
1|id[1, 619]             -0.251  0.587  -1.375    0.835      0.005    0.008  14693.779  6018.835  1.000
1|id[1, 623]              0.210  0.570  -0.852    1.275      0.004    0.008  16236.182  5504.637  1.002
1|id[1, 626]              0.845  0.591  -0.267    1.946      0.005    0.007  14063.263  5593.661  1.000
1|id[1, 628]             -0.306  0.721  -1.594    1.115      0.005    0.010  18789.434  5488.271  1.000
1|id[1, 629]             -0.602  0.674  -1.898    0.661      0.005    0.009  17985.295  5578.273  1.000
1|id[1, 630]              0.290  0.622  -0.903    1.437      0.005    0.009  16546.723  5095.463  1.002
1|id[1, 631]             -0.299  0.644  -1.498    0.895      0.005    0.009  18822.721  5679.182  1.000
1|id[1, 632]             -0.304  0.716  -1.651    1.016      0.006    0.009  15579.496  5499.636  1.001
1|id[1, 636]              0.201  0.578  -0.822    1.357      0.005    0.008  16175.481  5868.872  1.000
1|id[1, 637]              0.307  0.578  -0.810    1.370      0.005    0.007  14221.001  5997.110  1.001
1|id[1, 640]              0.788  0.574  -0.266    1.891      0.004    0.007  17433.216  6574.265  1.001
1|id[1, 649]             -0.386  0.628  -1.572    0.791      0.005    0.008  13892.048  5185.737  1.001
1|id[1, 650]             -0.148  0.564  -1.187    0.931      0.005    0.008  14840.760  5396.317  1.001
1|id[1, 651]              0.431  0.609  -0.713    1.559      0.005    0.008  15860.514  5795.597  1.001
1|id[1, 652]             -0.660  0.587  -1.722    0.499      0.005    0.008  15692.597  5036.081  1.000
1|id[1, 654]              0.159  0.571  -0.886    1.236      0.005    0.007  14942.940  5628.210  1.000
1|id[1, 660]             -0.807  0.636  -2.001    0.426      0.005    0.008  15320.631  5616.930  1.000
1|id[1, 661]              0.151  0.628  -1.044    1.300      0.005    0.008  15463.482  5747.207  1.000
1|id[1, 663]              0.560  0.580  -0.514    1.649      0.004    0.009  19122.703  5173.978  1.003
1|id[1, 666]             -0.440  0.705  -1.822    0.834      0.006    0.010  16185.458  4932.946  1.001
1|id[1, 671]             -1.015  0.611  -2.135    0.166      0.005    0.008  17786.763  5881.066  1.000
1|id[1, 672]             -0.554  0.608  -1.757    0.527      0.005    0.008  14696.767  5448.326  1.000
1|id[1, 673]             -0.045  0.605  -1.132    1.124      0.005    0.009  15568.789  5323.886  1.002
1|id[1, 674]             -0.228  0.518  -1.155    0.780      0.004    0.007  13593.821  4893.477  1.002
1|id[1, 675]             -0.844  0.639  -2.060    0.304      0.005    0.008  16001.854  5966.757  1.000
1|id[1, 676]              0.019  0.617  -1.181    1.150      0.005    0.008  17931.618  5529.017  1.002
1|id[1, 677]              0.093  0.617  -0.999    1.324      0.005    0.008  16672.778  5660.122  1.000
1|id[1, 683]             -0.575  0.662  -1.765    0.687      0.005    0.009  16831.925  5901.861  1.001
1|id[1, 684]              0.042  0.617  -1.104    1.206      0.005    0.008  16405.787  5533.851  1.000
1|id[1, 686]             -0.895  0.639  -2.107    0.282      0.005    0.008  15040.045  5361.388  1.001
